Días,C1(t)-C1(0),DSNW1,NW1,p-val,C2(t)-C2(0),DSNW2,NW2,p-val,C3(t)-C3(0),DSNW3,NW3,p-val,C4(t)-C4(0),DSNW4,NW4,p-val
-14,0.0203,0.1123,0.3135,0.7562,0.0311,0.0369,1.4573,0.1562,0.0426,0.0272,2.7120,0.0113,0.0362,0.01502872,4.1682,0.0003
-13,0.0361,0.1123,0.5564,0.5824,0.0380,0.0369,1.7815,0.0857,0.0461,0.0272,2.9349,0.0066,0.0408,0.01502872,4.7060,0.0001
-12,0.0312,0.1123,0.4806,0.6346,0.0310,0.0369,1.4534,0.1572,0.0426,0.0272,2.7120,0.0113,0.0376,0.01502872,4.3315,0.0002
-11,0.0265,0.1123,0.4086,0.6859,0.0342,0.0369,1.6018,0.1204,0.0386,0.0272,2.4572,0.0205,0.0334,0.01502872,3.8513,0.0006
-10,0.0149,0.1123,0.2300,0.8198,0.0267,0.0369,1.2502,0.2216,0.0264,0.0272,1.6824,0.1036,0.0167,0.01502872,1.9208,0.0650
-9,-0.0090,0.1123,-0.1388,0.8906,0.0285,0.0369,1.3362,0.1923,0.0281,0.0272,1.7885,0.0845,0.0173,0.01502872,1.9977,0.0556
-8,-0.0210,0.1123,-0.3238,0.7485,0.0304,0.0369,1.4260,0.1649,0.0269,0.0272,1.7142,0.0975,0.0161,0.01502872,1.8536,0.0744
-7,-0.0497,0.1123,-0.7658,0.4502,0.0197,0.0369,0.9220,0.3644,0.0195,0.0272,1.2419,0.2246,0.0137,0.01502872,1.5751,0.1265
-6,-0.0008,0.1123,-0.0116,0.9909,-0.0063,0.0369,-0.2930,0.7717,-0.0053,0.0272,-0.3344,0.7406,0.0001,0.01502872,0.0096,0.9924
-5,-0.0335,0.1123,-0.5165,0.6095,-0.0151,0.0369,-0.7071,0.4853,-0.0091,0.0272,-0.5785,0.5676,0.0024,0.01502872,0.2785,0.7827
-4,-0.0227,0.1123,-0.3495,0.7293,-0.0183,0.0369,-0.8595,0.3974,-0.0083,0.0272,-0.5307,0.5998,0.0039,0.01502872,0.4514,0.6552
-3,-0.0150,0.1123,-0.2313,0.8188,-0.0198,0.0369,-0.9259,0.3624,-0.0121,0.0272,-0.7695,0.4480,-0.0039,0.01502872,-0.4514,0.6552
-2,-0.0008,0.1123,-0.0128,0.9898,-0.0118,0.0369,-0.5548,0.5835,-0.0067,0.0272,-0.4246,0.6744,-0.0028,0.01502872,-0.3265,0.7464
-1,-0.0068,0.1123,-0.1041,0.9178,-0.0107,0.0369,-0.5001,0.6209,-0.0063,0.0272,-0.3980,0.6936,-0.0039,0.01502872,-0.4514,0.6552
0,0.0000,0.1123,0.0000,1.0000,0.0000,0.0369,0.0000,1.0000,0.0000,0.0272,0.0000,1.0000,0.0000,0.01502872,0.0000,1.0000
1,0.0013,0.1123,0.0206,0.9837,-0.0021,0.0369,-0.0977,0.9229,0.0083,0.0272,0.5307,0.5998,0.0062,0.01502872,0.7107,0.4831
2,-0.0119,0.1123,-0.1837,0.8555,-0.0021,0.0369,-0.0977,0.9229,0.0149,0.0272,0.9500,0.3502,0.0102,0.01502872,1.1717,0.2512
3,-0.0173,0.1123,-0.2660,0.7922,-0.0018,0.0369,-0.0860,0.9321,0.0138,0.0272,0.8810,0.3858,0.0073,0.01502872,0.8452,0.4052
4,0.0119,0.1123,0.1837,0.8555,0.0128,0.0369,0.6017,0.5522,0.0201,0.0272,1.2790,0.2114,0.0063,0.01502872,0.7299,0.4715
5,0.0469,0.1123,0.7234,0.4754,0.0253,0.0369,1.1838,0.2464,0.0305,0.0272,1.9424,0.0622,0.0186,0.01502872,2.1417,0.0411
6,0.0536,0.1123,0.8262,0.4157,0.0293,0.0369,1.3752,0.1800,0.0402,0.0272,2.5581,0.0162,0.0308,0.01502872,3.5439,0.0014
7,0.0625,0.1123,0.9637,0.3435,0.0320,0.0369,1.5002,0.1447,0.0366,0.0272,2.3298,0.0272,0.0308,0.01502872,3.5535,0.0014
8,0.0639,0.1123,0.9855,0.3328,0.0286,0.0369,1.3401,0.1910,0.0380,0.0272,2.4201,0.0223,0.0349,0.01502872,4.0241,0.0004
9,0.0918,0.1123,1.4160,0.1678,0.0408,0.0369,1.9144,0.0658,0.0440,0.0272,2.8022,0.0091,0.0388,0.01502872,4.4659,0.0001
10,0.0833,0.1123,1.2836,0.2098,0.0423,0.0369,1.9847,0.0571,0.0422,0.0272,2.6854,0.0120,0.0354,0.01502872,4.0817,0.0003
11,0.0379,0.1123,0.5846,0.5635,0.0368,0.0369,1.7268,0.0952,0.0379,0.0272,2.4148,0.0225,0.0312,0.01502872,3.5919,0.0012
12,0.0091,0.1123,0.1401,0.8896,0.0363,0.0369,1.7034,0.0996,0.0348,0.0272,2.2131,0.0352,0.0249,0.01502872,2.8716,0.0077
13,0.0077,0.1123,0.1182,0.9067,0.0344,0.0369,1.6135,0.1178,0.0283,0.0272,1.7991,0.0828,0.0178,0.01502872,2.0553,0.0493
14,0.0093,0.1123,0.1439,0.8866,0.0332,0.0369,1.5549,0.1312,0.0228,0.0272,1.4542,0.1570,0.0111,0.01502872,1.2773,0.2120
